(lower bound+upper bound)/2 , probability
0.05 , 0.018135833384962517
0.15000000000000002 , 0.011891366867654083
0.25 , 0.016153272724002375
0.35000000000000003 , 0.016352128354814404
0.45 , 0.022929353289511813
0.55 , 0.03514748292739471
0.65 , 0.04526014113753415
0.75 , 0.0548231983579921
0.8500000000000001 , 0.07516842772147421
0.9500000000000001 , 0.08619941922164509
1.05 , 0.09016254199451199
1.1500000000000001 , 0.09581144089391103
1.25 , 0.07128224908716271
1.35 , 0.07536428552870617
1.4500000000000002 , 0.05101796096034279
1.55 , 0.04654620745338884
1.6500000000000001 , 0.03730591590505293
1.75 , 0.029543551381696887
1.85 , 0.02556643876545628
1.9500000000000002 , 0.017071606014033812
2.0500000000000003 , 0.015009103390938179
2.15 , 0.012204139794509187
2.25 , 0.010561332472624875
2.35 , 0.007613472618878694
2.45 , 0.00564989817392573
2.5500000000000003 , 0.0051722449501661796
2.6500000000000004 , 0.004146989285778525
2.75 , 0.003648351296958408
2.85 , 0.002661068064585111
2.95 , 0.0020045447005474027
3.0500000000000003 , 0.001787702128254887
3.1500000000000004 , 0.0013470220619830003
3.25 , 0.0012640822762674299
3.35 , 8.074138175684453E-4
3.45 , 7.304696790130365E-4
3.5500000000000003 , 6.525262659309341E-4
3.6500000000000004 , 5.376096953611678E-4
3.75 , 5.286162246209252E-4
3.85 , 3.487468098160735E-4
3.95 , 3.4574898623599266E-4
4.05 , 2.7679904389413284E-4
4.15 , 1.7287449311799633E-4
4.25 , 1.4589408089726858E-4
4.3500000000000005 , 8.593760929565135E-5
4.45 , 6.894994234185981E-5
4.55 , 4.596662822790654E-5
4.65 , 4.89644518079874E-5
4.75 , 5.8957197074923605E-5
4.8500000000000005 , 5.496009896814912E-5
4.95 , 3.497460843427672E-5
5.050000000000001 , 3.1976784854195856E-5
5.15 , 4.097025559443844E-5
5.25 , 4.097025559443844E-5
5.3500000000000005 , 4.196953012113206E-5
5.45 , 2.3982588640646892E-5
5.550000000000001 , 1.9985490533872408E-5
5.65 , 2.498186316734051E-5
5.75 , 1.1991294320323446E-5
5.8500000000000005 , 3.997098106774482E-6
5.95 , 6.994921686855343E-6
6.050000000000001 , 1.998549053387241E-6
6.15 , 1.998549053387241E-6
6.25 , 0.0
6.3500000000000005 , 0.0
6.45 , 0.0
6.550000000000001 , 0.0
6.65 , 0.0
6.75 , 0.0
6.8500000000000005 , 0.0
6.95 , 0.0
7.050000000000001 , 0.0
7.15 , 0.0
7.25 , 0.0
7.3500000000000005 , 0.0
7.45 , 0.0
7.550000000000001 , 0.0
7.65 , 0.0
7.75 , 0.0
7.8500000000000005 , 0.0
7.95 , 0.0
8.05 , 0.0
8.15 , 0.0
8.25 , 0.0
8.35 , 0.0
8.450000000000001 , 0.0
8.55 , 0.0
8.65 , 0.0
8.75 , 0.0
8.85 , 0.0
8.950000000000001 , 0.0
9.05 , 0.0
9.15 , 0.0
9.25 , 0.0
9.35 , 0.0
9.450000000000001 , 0.0
9.55 , 0.0
9.65 , 0.0
9.75 , 0.0
9.850000000000001 , 0.0
9.950000000000001 , 0.0
